Task,task_short,seed,train_damage,eval_damage,hard_accuracy
Bit Reversal,reverse,0,ON,OFF,1.0
Bit Reversal,reverse,0,ON,ON,0.9896782636642456
Bit Reversal,reverse,0,OFF,OFF,1.0
Bit Reversal,reverse,0,OFF,ON,
Bit Reversal,reverse,1,ON,OFF,1.0
Bit Reversal,reverse,1,ON,ON,0.9916043281555176
Bit Reversal,reverse,1,OFF,OFF,1.0
Bit Reversal,reverse,1,OFF,ON,
Binary Addition,add,0,ON,OFF,0.9948322176933287
Binary Addition,add,0,ON,ON,0.9725341200828552
Binary Addition,add,0,OFF,OFF,0.9948322176933287
Binary Addition,add,0,OFF,ON,
Binary Addition,add,1,ON,OFF,0.9865452647209167
Binary Addition,add,1,ON,ON,0.9625517129898072
Binary Multiplication,binary_multiply,0,ON,OFF,0.854831337928772
Binary Multiplication,binary_multiply,0,ON,ON,0.8179117441177368
Binary Multiplication,binary_multiply,0,OFF,OFF,0.854831337928772
Binary Multiplication,binary_multiply,0,OFF,ON,
Binary Addition,add,1,OFF,OFF,0.9865452647209167
Binary Addition,add,1,OFF,ON,
Binary Multiplication,binary_multiply,1,ON,OFF,0.8514132499694824
Binary Multiplication,binary_multiply,1,ON,ON,0.8217095732688904
Binary Multiplication,binary_multiply,1,OFF,OFF,0.8514132499694824
Binary Multiplication,binary_multiply,1,OFF,ON,
Bit Reversal,reverse,2,ON,OFF,1.0
Bit Reversal,reverse,2,ON,ON,0.990559995174408
Binary Addition,add,2,ON,OFF,0.9891628623008728
Binary Addition,add,2,ON,ON,0.9697943925857544
Bit Reversal,reverse,2,OFF,OFF,1.0
Bit Reversal,reverse,2,OFF,ON,
Binary Addition,add,2,OFF,OFF,0.9891628623008728
Binary Addition,add,2,OFF,ON,
Binary Multiplication,binary_multiply,2,ON,OFF,0.8456353545188904
Binary Multiplication,binary_multiply,2,ON,ON,0.814914345741272
Binary Multiplication,binary_multiply,2,OFF,OFF,0.8456353545188904
Binary Multiplication,binary_multiply,2,OFF,ON,
Bit Reversal,reverse,4,ON,OFF,1.0
Bit Reversal,reverse,4,ON,ON,0.9877523183822632
Bit Reversal,reverse,4,OFF,OFF,1.0
Bit Reversal,reverse,4,OFF,ON,
Binary Addition,add,4,ON,OFF,0.9939100742340088
Binary Addition,add,4,ON,ON,0.9739312529563904
Binary Addition,add,4,OFF,OFF,0.9939100742340088
Binary Addition,add,4,OFF,ON,
Binary Multiplication,binary_multiply,4,ON,OFF,0.8512369990348816
Binary Multiplication,binary_multiply,4,ON,ON,0.8168267607688904
Binary Multiplication,binary_multiply,4,OFF,OFF,0.8512369990348816
Binary Multiplication,binary_multiply,4,OFF,ON,
Bit Reversal,reverse,5,ON,OFF,1.0
Bit Reversal,reverse,5,ON,ON,0.9965278506278992
Bit Reversal,reverse,5,OFF,OFF,1.0
Bit Reversal,reverse,5,OFF,ON,
Binary Addition,add,5,OFF,OFF,0.9885390996932985
Binary Addition,add,5,OFF,ON,
Binary Addition,add,5,ON,OFF,0.9885390996932985
Binary Addition,add,5,ON,ON,0.9670817852020264
Binary Multiplication,binary_multiply,5,ON,OFF,0.850979208946228
Binary Multiplication,binary_multiply,5,ON,ON,0.8119709491729736
Binary Multiplication,binary_multiply,5,OFF,OFF,0.850979208946228
Binary Multiplication,binary_multiply,5,OFF,ON,
