run_id,run_name,task_raw,Task,seed,ood,split,train_damage,eval_damage,wiring_mode,model,test_num,input_bits,hard_accuracy,hard_loss,accuracy,loss
tc1cbhzh,glad-wood-1021,reverse,Bit Reversal,0,in,test,ON,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,0.713126540184021
tc1cbhzh,glad-wood-1021,reverse,Bit Reversal,0,in,test,ON,ON,fixed,gathered_attention,256,12,0.9240587949752808,3754.792724609375,0.9240587949752808,340.56842041015625
jaj1lz0g,bumbling-wood-1022,reverse,Bit Reversal,0,in,test,OFF,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,0.0003662109957076609
jaj1lz0g,bumbling-wood-1022,reverse,Bit Reversal,0,in,test,OFF,ON,fixed,gathered_attention,256,12,0.8519287109375,7330.6787109375,0.8519287109375,4609.8427734375
om9bo3ht,woven-elevator-1023,reverse,Bit Reversal,1,in,test,ON,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,2.1966347694396973
om9bo3ht,woven-elevator-1023,reverse,Bit Reversal,1,in,test,ON,ON,fixed,gathered_attention,256,12,0.9437121152877808,2763.556640625,0.9437121152877808,342.24957275390625
5e9i8e0m,different-water-1024,reverse,Bit Reversal,1,in,test,OFF,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,0.0003662109957076609
5e9i8e0m,different-water-1024,reverse,Bit Reversal,1,in,test,OFF,ON,fixed,gathered_attention,256,12,0.835476279258728,8138.07958984375,0.835476279258728,5418.9921875
ai8osequ,young-plant-1025,add,Binary Addition,0,in,test,ON,OFF,fixed,gathered_attention,256,12,0.919813334941864,3936.314208984375,0.9281277060508728,492.6808776855469
ai8osequ,young-plant-1025,add,Binary Addition,0,in,test,ON,ON,fixed,gathered_attention,256,12,0.8423664569854736,7742.09375,0.8514811396598816,863.6845092773438
zsg7sanm,lyric-glitter-1025,add,Binary Addition,0,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.9648167490959167,1732.0457763671875,0.9644097089767456,208.2186279296875
zsg7sanm,lyric-glitter-1025,add,Binary Addition,0,in,test,OFF,ON,fixed,gathered_attention,256,12,0.7638753652572632,11634.3154296875,0.7638346552848816,3076.34912109375
n3mfwezh,dandy-hill-1027,add,Binary Addition,1,in,test,ON,OFF,fixed,gathered_attention,256,12,0.7910428047180176,10241.5888671875,0.7962374091148376,984.8483276367188
n3mfwezh,dandy-hill-1027,add,Binary Addition,1,in,test,ON,ON,fixed,gathered_attention,256,12,0.776313066482544,10970.083984375,0.779622495174408,1034.3148193359375
a52pgjqu,distinctive-dust-1028,binary_multiply,Binary Multiplication,0,in,test,ON,OFF,fixed,gathered_attention,256,12,0.8067626953125,9521.021484375,0.8099365234375,1007.9874267578125
a52pgjqu,distinctive-dust-1028,binary_multiply,Binary Multiplication,0,in,test,ON,ON,fixed,gathered_attention,256,12,0.7424452304840088,12700.396484375,0.7476670145988464,1398.771484375
uww00kq0,likely-music-1028,binary_multiply,Binary Multiplication,0,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.854546308517456,7161.8212890625,0.8627657890319824,800.1365966796875
uww00kq0,likely-music-1028,binary_multiply,Binary Multiplication,0,in,test,OFF,ON,fixed,gathered_attention,256,12,0.686130166053772,15500.2490234375,0.6874458193778992,4687.82275390625
uyt6mt1e,dark-cloud-1030,add,Binary Addition,1,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.9551731944084167,2208.7314453125,0.9577500820159912,253.2878875732422
uyt6mt1e,dark-cloud-1030,add,Binary Addition,1,in,test,OFF,ON,fixed,gathered_attention,256,12,0.7649332880973816,11590.3740234375,0.7646349668502808,2930.74462890625
f44xza6n,solar-paper-1031,binary_multiply,Binary Multiplication,1,in,test,ON,OFF,fixed,gathered_attention,256,12,0.8163385391235352,9043.2705078125,0.8291558623313904,947.5253295898438
f44xza6n,solar-paper-1031,binary_multiply,Binary Multiplication,1,in,test,ON,ON,fixed,gathered_attention,256,12,0.7523057460784912,12205.6865234375,0.7592231035232544,1317.7540283203125
n9s79h7z,drawn-sound-1032,binary_multiply,Binary Multiplication,1,in,test,OFF,OFF,fixed,gathered_attention,256,12,0.8474799990653992,7517.74365234375,0.8505452871322632,807.2723999023438
n9s79h7z,drawn-sound-1032,binary_multiply,Binary Multiplication,1,in,test,OFF,ON,fixed,gathered_attention,256,12,0.6765679717063904,15973.4453125,0.6758626699447632,4732.44775390625
2u3mdq1i,wandering-music-1033,reverse,Bit Reversal,2,in,test,ON,OFF,fixed,gathered_attention,256,12,1.0,0.0003662109957076609,1.0,5.27584981918335
2u3mdq1i,wandering-music-1033,reverse,Bit Reversal,2,in,test,ON,ON,fixed,gathered_attention,256,12,0.9259440302848816,3639.411865234375,0.9260932207107544,569.4180297851562
cwyeb5aq,jumping-durian-1034,add,Binary Addition,2,in,test,ON,OFF,fixed,gathered_attention,256,12,0.7659505605697632,11468.3740234375,0.776340126991272,998.82421875
