pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,pattern_20,pattern_21,pattern_22,pattern_23,pattern_24,pattern_25,pattern_26,pattern_27,pattern_28,pattern_29,pattern_30,pattern_31,pattern_32,pattern_33,pattern_34,pattern_35,pattern_36,pattern_37,pattern_38,pattern_39,pattern_40,pattern_41,pattern_42,pattern_43,pattern_44,pattern_45,pattern_46,pattern_47,pattern_48,pattern_49,pattern_50,pattern_51,pattern_52,pattern_53,pattern_54,pattern_55,pattern_56,pattern_57,pattern_58,pattern_59,pattern_60,pattern_61,pattern_62,pattern_63
0,0.0,0.35755813953488375,0.3471153846153846,0.3380681818181818,0.3735687022900763,0.3190789473684211,0.37744140625,0.3554389312977099,0.32649253731343286,0.34232954545454547,0.35384615384615387,0.37306201550387597,0.36259541984732824,0.31345419847328243,0.38072519083969464,0.37693798449612403,0.35179924242424243,0.33251953125,0.3541666666666667,0.37452290076335876,0.3573473282442748,0.3702290076335878,0.3218283582089552,0.33798076923076925,0.36474609375,0.3487595419847328,0.34633458646616544,0.37452290076335876,0.35998062015503873,0.3451923076923077,0.32751937984496127,0.35639312977099236,0.3430451127819549,0.38798076923076924,0.3482824427480916,0.3735687022900763,0.34208015267175573,0.34278846153846154,0.3606870229007634,0.3490384615384615,0.35096153846153844,0.3583015267175573,0.3511450381679389,0.3639423076923077,0.37209302325581395,0.37403846153846154,0.3573473282442748,0.3271780303030303,0.36927480916030536,0.36538461538461536,0.36211832061068705,0.33826335877862596,0.3706395348837209,0.3644230769230769,0.3628875968992248,0.36923076923076925,0.36688931297709926,0.36211832061068705,0.3653100775193798,0.37596153846153846,0.36875,0.37547709923664124,0.3439885496183206,0.37403846153846154
1,0.35755813953488375,0.0,0.3622159090909091,0.37257751937984496,0.3275375939849624,0.3507751937984496,0.3622159090909091,0.34759615384615383,0.33091085271317827,0.3557692307692308,0.3354007633587786,0.3584280303030303,0.32729007633587787,0.3293269230769231,0.374031007751938,0.3451923076923077,0.33587786259541985,0.33942307692307694,0.37452290076335876,0.37067307692307694,0.3328488372093023,0.36328125,0.33042635658914726,0.35673076923076924,0.32729007633587787,0.34375,0.33365384615384613,0.35528846153846155,0.3712121212121212,0.37833969465648853,0.3317307692307692,0.3139423076923077,0.361328125,0.3544847328244275,0.30968045112781956,0.3581730769230769,0.3498062015503876,0.3282442748091603,0.3268129770992366,0.3143796992481203,0.3606870229007634,0.3325381679389313,0.3330152671755725,0.3389423076923077,0.38269230769230766,0.35865384615384616,0.34615384615384615,0.3218984962406015,0.3610576923076923,0.3875968992248062,0.35804263565891475,0.3678435114503817,0.35321969696969696,0.36116412213740456,0.3466346153846154,0.3528846153846154,0.3893129770992366,0.3216346153846154,0.35721153846153847,0.38883587786259544,0.37067307692307694,0.31822519083969464,0.3346153846153846,0.37309160305343514
2,0.3471153846153846,0.3622159090909091,0.0,0.3372093023255814,0.36593511450381677,0.3628875968992248,0.34759615384615383,0.3642578125,0.3425572519083969,0.3091856060606061,0.31296641791044777,0.3425387596899225,0.35591603053435117,0.34156976744186046,0.3244274809160305,0.3735687022900763,0.3730769230769231,0.33826335877862596,0.34615384615384615,0.36143410852713176,0.3502906976744186,0.374515503875969,0.3220419847328244,0.3465909090909091,0.37257751937984496,0.3291015625,0.3504807692307692,0.3354007633587786,0.3275375939849624,0.38953488372093026,0.3293269230769231,0.37109375,0.35986328125,0.3644230769230769,0.3363549618320611,0.34471153846153846,0.35096153846153844,0.34544573643410853,0.3616412213740458,0.35620300751879697,0.3592557251908397,0.32490458015267176,0.34738372093023256,0.3221899224806202,0.3606870229007634,0.4108527131782946,0.3471153846153846,0.3144230769230769,0.34278846153846154,0.37548076923076923,0.3546511627906977,0.35890151515151514,0.3730769230769231,0.32967557251908397,0.3682170542635659,0.35755813953488375,0.36201923076923076,0.36474609375,0.37115384615384617,0.3793604651162791,0.3458969465648855,0.37744140625,0.34375,0.34232954545454547
3,0.3380681818181818,0.37257751937984496,0.3372093023255814,0.0,0.38740458015267176,0.35721153846153847,0.39375,0.3320610687022901,0.3372093023255814,0.3631628787878788,0.3658653846153846,0.37452290076335876,0.3683206106870229,0.32706766917293234,0.3470643939393939,0.37742248062015504,0.3630725190839695,0.3392857142857143,0.375,0.3430451127819549,0.3691860465116279,0.36553030303030304,0.35658914728682173,0.3506679389312977,0.37887596899224807,0.36354961832061067,0.373546511627907,0.34517045454545453,0.3837890625,0.38076923076923075,0.3508522727272727,0.34303435114503816,0.38257575757575757,0.40192307692307694,0.35528846153846155,0.3511450381679389,0.3574810606060606,0.35782442748091603,0.33617424242424243,0.34205426356589147,0.36778846153846156,0.3487595419847328,0.3425572519083969,0.36538461538461536,0.3658653846153846,0.37790697674418605,0.3555871212121212,0.3520992366412214,0.3498134328358209,0.36875,0.375484496124031,0.36490384615384613,0.3605769230769231,0.3568097014925373,0.3802884615384615,0.36450381679389315,0.36043233082706766,0.34738372093023256,0.37839147286821706,0.3697115384615385,0.34923664122137404,0.37452290076335876,0.36020992366412213,0.3522727272727273
4,0.3735687022900763,0.3275375939849624,0.36593511450381677,0.38740458015267176,0.0,0.3693181818181818,0.3697115384615385,0.34923664122137404,0.33221153846153845,0.3783653846153846,0.36767578125,0.3678977272727273,0.36137218045112784,0.3163167938931298,0.3859732824427481,0.38740458015267176,0.3400186567164179,0.33942307692307694,0.37929389312977096,0.3501908396946565,0.35852713178294576,0.36736641221374045,0.3478682170542636,0.35271317829457366,0.350093984962406,0.3841346153846154,0.3923076923076923,0.37357954545454547,0.3682170542635659,0.3846899224806202,0.3451923076923077,0.3338178294573643,0.375,0.3726503759398496,0.3489583333333333,0.3568702290076336,0.37112403100775193,0.3557330827067669,0.3325381679389313,0.33557692307692305,0.30545112781954886,0.3401717557251908,0.3370192307692308,0.3632518796992481,0.3759765625,0.36279296875,0.3630725190839695,0.34375,0.366412213740458,0.3721153846153846,0.36201923076923076,0.3347537878787879,0.375,0.35804263565891475,0.3845419847328244,0.36593511450381677,0.38269230769230766,0.33544921875,0.34138257575757575,0.3662109375,0.3783653846153846,0.34685114503816794,0.3592557251908397,0.3793604651162791
5,0.3190789473684211,0.3507751937984496,0.3628875968992248,0.35721153846153847,0.3693181818181818,0.0,0.34517045454545453,0.3268129770992366,0.3282442748091603,0.34780534351145037,0.34326923076923077,0.3735687022900763,0.34780534351145037,0.3391472868217054,0.3641917293233083,0.3391472868217054,0.3697916666666667,0.34593023255813954,0.3485576923076923,0.39147286821705424,0.3425387596899225,0.359375,0.3181818181818182,0.3504807692307692,0.33942307692307694,0.35511363636363635,0.3554389312977099,0.3507751937984496,0.3662109375,0.3894230769230769,0.3148496240601504,0.32048872180451127,0.37642045454545453,0.35714285714285715,0.365234375,0.36923076923076925,0.3541666666666667,0.3314393939393939,0.37115384615384617,0.34327651515151514,0.374515503875969,0.3644230769230769,0.36181640625,0.3425572519083969,0.38125,0.3566729323308271,0.34471153846153846,0.33984375,0.3520992366412214,0.37073863636363635,0.3684210526315789,0.35528846153846155,0.35,0.3592557251908397,0.36201923076923076,0.3682170542635659,0.3409090909090909,0.35877862595419846,0.3808139534883721,0.3701923076923077,0.33826335877862596,0.3594961240310077,0.36020992366412213,0.37160852713178294
6,0.37744140625,0.3622159090909091,0.34759615384615383,0.39375,0.3697115384615385,0.34517045454545453,0.0,0.3275375939849624,0.3325381679389313,0.3701550387596899,0.32967557251908397,0.33028846153846153,0.3642578125,0.3386627906976744,0.3524038461538462,0.374031007751938,0.3783653846153846,0.3370192307692308,0.3390151515151515,0.3663461538461538,0.3234732824427481,0.38509615384615387,0.3293269230769231,0.35192307692307695,0.3328598484848485,0.3583984375,0.3648255813953488,0.3551356589147287,0.3716346153846154,0.36975190839694655,0.31203007518796994,0.3596153846153846,0.3485576923076923,0.3803294573643411,0.3331730769230769,0.3642578125,0.3551356589147287,0.33349236641221375,0.3740530303030303,0.3416030534351145,0.37404580152671757,0.3507751937984496,0.35302734375,0.3370192307692308,0.36498091603053434,0.36884469696969696,0.34611742424242425,0.2850378787878788,0.34208015267175573,0.3384259259259259,0.3821564885496183,0.34759615384615383,0.3484848484848485,0.3368320610687023,0.35998062015503873,0.3354007633587786,0.34801136363636365,0.3628875968992248,0.37067307692307694,0.3555871212121212,0.3396317829457364,0.34615384615384615,0.3490384615384615,0.3875
7,0.3554389312977099,0.34759615384615383,0.3642578125,0.3320610687022901,0.34923664122137404,0.3268129770992366,0.3275375939849624,0.0,0.299812030075188,0.38372093023255816,0.349609375,0.36498091603053434,0.34759615384615383,0.36094961240310075,0.37736742424242425,0.3252840909090909,0.34990530303030304,0.33969465648854963,0.3392175572519084,0.3654580152671756,0.3625,0.3528846153846154,0.33349236641221375,0.373546511627907,0.3506679389312977,0.3624031007751938,0.3536821705426357,0.35144230769230766,0.3793604651162791,0.38905038759689925,0.325,0.3520992366412214,0.3768939393939394,0.4125,0.37259615384615385,0.36201923076923076,0.3658653846153846,0.35319767441860467,0.34774436090225563,0.32259615384615387,0.35877862595419846,0.3502906976744186,0.35707364341085274,0.3555871212121212,0.3797709923664122,0.3520992366412214,0.35782442748091603,0.31822519083969464,0.33570075757575757,0.34208015267175573,0.3557692307692308,0.34814453125,0.36538461538461536,0.36191860465116277,0.34544573643410853,0.3556201550387597,0.3375,0.3485576923076923,0.3721153846153846,0.3726145038167939,0.34326923076923077,0.36688931297709926,0.3423076923076923,0.35782442748091603
8,0.32649253731343286,0.33091085271317827,0.3425572519083969,0.3372093023255814,0.33221153846153845,0.3282442748091603,0.3325381679389313,0.299812030075188,0.0,0.3451923076923077,0.3367248062015504,0.3561046511627907,0.34156976744186046,0.31875,0.3693181818181818,0.325,0.3380681818181818,0.31202290076335876,0.37790697674418605,0.34278846153846154,0.30916030534351147,0.36328125,0.29829545454545453,0.3252840909090909,0.32177734375,0.3425751879699248,0.3439922480620155,0.3271780303030303,0.375,0.3648255813953488,0.30426356589147285,0.3306297709923664,0.32386363636363635,0.37067307692307694,0.3370192307692308,0.35144230769230766,0.3283653846153846,0.3196564885496183,0.302705223880597,0.32251908396946566,0.34541984732824427,0.30277777777777776,0.32872137404580154,0.32548076923076924,0.36538461538461536,0.33428030303030304,0.3363549618320611,0.30329457364341084,0.3497137404580153,0.3162878787878788,0.33948863636363635,0.3243371212121212,0.3610576923076923,0.31826923076923075,0.34011627906976744,0.31976744186046513,0.341796875,0.3271780303030303,0.3368320610687023,0.3568702290076336,0.33942307692307694,0.35625,0.31297348484848486,0.34422348484848486
9,0.34232954545454547,0.3557692307692308,0.3091856060606061,0.3631628787878788,0.3783653846153846,0.34780534351145037,0.3701550387596899,0.38372093023255816,0.3451923076923077,0.0,0.33570075757575757,0.35852713178294576,0.375,0.3687015503875969,0.366412213740458,0.37548076923076923,0.3740234375,0.3370192307692308,0.3478682170542636,0.39244186046511625,0.35144230769230766,0.35625,0.32670454545454547,0.3544847328244275,0.36191860465116277,0.3346153846153846,0.3503787878787879,0.35384615384615387,0.3408653846153846,0.38226744186046513,0.33413461538461536,0.36676356589147285,0.3536931818181818,0.35634328358208955,0.33826335877862596,0.3560606060606061,0.35205078125,0.32136194029850745,0.3541666666666667,0.3456730769230769,0.3473282442748092,0.3277671755725191,0.35096153846153844,0.345703125,0.36498091603053434,0.38372093023255816,0.3449612403100775,0.3298076923076923,0.34351503759398494,0.3644230769230769,0.3624031007751938,0.3536821705426357,0.374031007751938,0.31297709923664124,0.3731060606060606,0.35222868217054265,0.3808139534883721,0.3678977272727273,0.3591346153846154,0.35385338345864664,0.3682170542635659,0.3846899224806202,0.34446564885496184,0.3697115384615385
