pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,pattern_20,pattern_21,pattern_22,pattern_23,pattern_24,pattern_25,pattern_26,pattern_27,pattern_28,pattern_29,pattern_30,pattern_31,pattern_32,pattern_33,pattern_34,pattern_35,pattern_36,pattern_37,pattern_38,pattern_39,pattern_40,pattern_41,pattern_42,pattern_43,pattern_44,pattern_45,pattern_46,pattern_47,pattern_48,pattern_49,pattern_50,pattern_51,pattern_52,pattern_53,pattern_54,pattern_55,pattern_56,pattern_57,pattern_58,pattern_59,pattern_60,pattern_61,pattern_62,pattern_63,pattern_64,pattern_65,pattern_66,pattern_67,pattern_68,pattern_69,pattern_70,pattern_71,pattern_72,pattern_73,pattern_74,pattern_75,pattern_76,pattern_77,pattern_78,pattern_79,pattern_80,pattern_81,pattern_82,pattern_83,pattern_84,pattern_85,pattern_86,pattern_87,pattern_88,pattern_89,pattern_90,pattern_91,pattern_92,pattern_93,pattern_94,pattern_95,pattern_96,pattern_97,pattern_98,pattern_99,pattern_100,pattern_101,pattern_102,pattern_103,pattern_104,pattern_105,pattern_106,pattern_107,pattern_108,pattern_109,pattern_110,pattern_111,pattern_112,pattern_113,pattern_114,pattern_115,pattern_116,pattern_117,pattern_118,pattern_119,pattern_120,pattern_121,pattern_122,pattern_123,pattern_124,pattern_125,pattern_126,pattern_127
0,0.0,0.364375,0.3635204081632653,0.3078271028037383,0.3787128712871287,0.3248762376237624,0.380859375,0.3465909090909091,0.37373737373737376,0.3354591836734694,0.3686868686868687,0.3217821782178218,0.37755102040816324,0.3552295918367347,0.3427835051546392,0.3671052631578947,0.38026315789473686,0.36328125,0.30400485436893204,0.37693298969072164,0.370625,0.355,0.36324257425742573,0.365,0.3479381443298969,0.35309278350515466,0.3459158415841584,0.35438829787234044,0.34785353535353536,0.3627577319587629,0.3675,0.3275,0.3292079207920792,0.3736979166666667,0.36553030303030304,0.360625,0.3646907216494845,0.3596938775510204,0.36211340206185566,0.35180412371134023,0.35986842105263156,0.35012755102040816,0.3282828282828283,0.349375,0.3667929292929293,0.36742424242424243,0.345625,0.381875,0.34438775510204084,0.35,0.35051546391752575,0.3514030612244898,0.3756443298969072,0.3229166666666667,0.3392857142857143,0.3561197916666667,0.31985294117647056,0.360180412371134,0.374320652173913,0.3688858695652174,0.3587239583333333,0.3241421568627451,0.3161057692307692,0.34785353535353536,0.35705445544554454,0.3870967741935484,0.3472938144329897,0.3560606060606061,0.3592105263157895,0.3502475247524752,0.34664948453608246,0.367984693877551,0.33630952380952384,0.2964108910891089,0.32765151515151514,0.3434278350515464,0.3565051020408163,0.34785353535353536,0.39144736842105265,0.34375,0.36989795918367346,0.33798543689320387,0.35232843137254904,0.354375,0.34344059405940597,0.3483009708737864,0.3670212765957447,0.3787128712871287,0.35695876288659795,0.36033163265306123,0.37371134020618557,0.33864795918367346,0.363031914893617,0.3638157894736842,0.34671052631578947,0.3832908163265306,0.3400735294117647,0.3627577319587629,0.3590561224489796,0.3359375,0.3589108910891089,0.3520408163265306,0.33984375,0.359375,0.35841836734693877,0.33585858585858586,0.345625,0.3763020833333333,0.3279761904761905,0.3680555555555556,0.334375,0.369140625,0.3661616161616162,0.35631443298969073,0.3567961165048544,0.3346354166666667,0.3622448979591837,0.3686868686868687,0.3368421052631579,0.3596938775510204,0.36160714285714285,0.3639705882352941,0.36662371134020616,0.3787878787878788,0.38584183673469385,0.3483072916666667,0.3582474226804124,0.34595959595959597
1,0.364375,0.0,0.358125,0.3561197916666667,0.38762626262626265,0.37822164948453607,0.3860677083333333,0.39029255319148937,0.4114583333333333,0.3872422680412371,0.4003712871287129,0.3947704081632653,0.401875,0.36328125,0.38788659793814434,0.37898936170212766,0.3826530612244898,0.32,0.35858585858585856,0.4055989583333333,0.3888157894736842,0.3875,0.37105263157894736,0.3731060606060606,0.3622448979591837,0.3658854166666667,0.38010204081632654,0.3819444444444444,0.38466494845360827,0.36907894736842106,0.38573232323232326,0.3404947916666667,0.36553030303030304,0.39690721649484534,0.34974747474747475,0.368125,0.3826530612244898,0.3322704081632653,0.40463917525773196,0.36642156862745096,0.3712121212121212,0.37014563106796117,0.3807397959183674,0.37691326530612246,0.3926767676767677,0.3997395833333333,0.39368556701030927,0.38786764705882354,0.3952020202020202,0.3692602040816326,0.382015306122449,0.35216346153846156,0.36363636363636365,0.3717105263157895,0.4049744897959184,0.35051546391752575,0.3743489583333333,0.341796875,0.3828947368421053,0.40625,0.38010204081632654,0.36375,0.35125,0.3707107843137255,0.38079896907216493,0.37247474747474746,0.375,0.386875,0.3980263157894737,0.3781887755102041,0.37244897959183676,0.3932291666666667,0.336489898989899,0.35669191919191917,0.3592171717171717,0.3832908163265306,0.3553921568627451,0.3801546391752577,0.3661616161616162,0.34213917525773196,0.3647959183673469,0.3352272727272727,0.36448019801980197,0.3635204081632653,0.3852040816326531,0.3743421052631579,0.36791237113402064,0.4055989583333333,0.35631443298969073,0.3763020833333333,0.358125,0.3541666666666667,0.38952020202020204,0.3693181818181818,0.358125,0.4027777777777778,0.38839285714285715,0.36553030303030304,0.34242021276595747,0.37898936170212766,0.3522727272727273,0.40625,0.3655913978494624,0.3697916666666667,0.39375,0.3896276595744681,0.37822164948453607,0.37757731958762886,0.3826530612244898,0.3737745098039216,0.35194174757281554,0.36825980392156865,0.3607336956521739,0.37628865979381443,0.403125,0.36237373737373735,0.3904639175257732,0.365,0.3447164948453608,0.38552631578947366,0.3960459183673469,0.37308673469387754,0.33972772277227725,0.37247474747474746,0.35355392156862747,0.385,0.40433673469387754,0.3711734693877551
2,0.3635204081632653,0.358125,0.0,0.3383838383838384,0.35125,0.3684210526315789,0.34681372549019607,0.40453296703296704,0.384375,0.327970297029703,0.34595959595959597,0.37875,0.392578125,0.3484848484848485,0.3405612244897959,0.3647959183673469,0.41375,0.3382731958762887,0.3655913978494624,0.3976063829787234,0.36768617021276595,0.37701612903225806,0.3865979381443299,0.35294117647058826,0.36033163265306123,0.3711340206185567,0.3522727272727273,0.3444010416666667,0.383125,0.3809840425531915,0.3692602040816326,0.34574468085106386,0.39368556701030927,0.354375,0.34777227722772275,0.35125,0.3982712765957447,0.3480263157894737,0.3881578947368421,0.36033163265306123,0.35051546391752575,0.32116336633663367,0.360180412371134,0.3533415841584158,0.38788659793814434,0.38079896907216493,0.38273195876288657,0.343125,0.36607142857142855,0.3692602040816326,0.3865979381443299,0.3475765306122449,0.360180412371134,0.35714285714285715,0.3730263157894737,0.3756510416666667,0.38456632653061223,0.34578804347826086,0.3907894736842105,0.39285714285714285,0.3647959183673469,0.3736842105263158,0.35795454545454547,0.34129901960784315,0.39158163265306123,0.33775252525252525,0.3106060606060606,0.357421875,0.37894736842105264,0.37693298969072164,0.3731060606060606,0.3611111111111111,0.360180412371134,0.33972772277227725,0.318125,0.3188131313131313,0.36088709677419356,0.3958333333333333,0.3337378640776699,0.3353960396039604,0.3815104166666667,0.35267857142857145,0.35,0.36543367346938777,0.37626262626262624,0.36211340206185566,0.3547979797979798,0.35526315789473684,0.3472222222222222,0.2920673076923077,0.34375,0.39884020618556704,0.3550257731958763,0.38848039215686275,0.3717447916666667,0.38208762886597936,0.38466494845360827,0.36386138613861385,0.3244949494949495,0.3736842105263158,0.3234223300970874,0.34681372549019607,0.36791237113402064,0.3801546391752577,0.360625,0.348125,0.363031914893617,0.3450520833333333,0.39330808080808083,0.35244845360824745,0.3881578947368421,0.3782552083333333,0.35984848484848486,0.40796703296703296,0.33125,0.365234375,0.35115979381443296,0.3899739583333333,0.34191176470588236,0.3541666666666667,0.3587239583333333,0.37625,0.3648989898989899,0.3736979166666667,0.375,0.3106796116504854,0.37685643564356436,0.35375
3,0.3078271028037383,0.3561197916666667,0.3383838383838384,0.0,0.3415841584158416,0.3067602040816326,0.3345959595959596,0.3217821782178218,0.3821614583333333,0.34375,0.34220297029702973,0.371875,0.36625,0.3440721649484536,0.37691326530612246,0.36223118279569894,0.38636363636363635,0.338490099009901,0.3248762376237624,0.33762254901960786,0.34342105263157896,0.3131127450980392,0.3424479166666667,0.34875,0.32667525773195877,0.35244845360824745,0.3503787878787879,0.35,0.3888157894736842,0.35012135922330095,0.34785353535353536,0.3337628865979381,0.351875,0.325625,0.34885204081632654,0.3671875,0.34630102040816324,0.3333333333333333,0.34,0.357421875,0.345703125,0.32702020202020204,0.34407894736842104,0.35459183673469385,0.3600260416666667,0.3592105263157895,0.3527227722772277,0.35778061224489793,0.32386363636363635,0.36862244897959184,0.3318298969072165,0.33569587628865977,0.365625,0.31958762886597936,0.3650265957446808,0.32301980198019803,0.29105392156862747,0.3618421052631579,0.3844086021505376,0.3776595744680851,0.33585858585858586,0.34715346534653463,0.34034653465346537,0.31978155339805825,0.3383838383838384,0.3541666666666667,0.31,0.3094660194174757,0.3794642857142857,0.36363636363636365,0.35631443298969073,0.3743556701030928,0.3360969387755102,0.30038265306122447,0.36415816326530615,0.32589285714285715,0.3611842105263158,0.3821614583333333,0.3651315789473684,0.3560049019607843,0.37308673469387754,0.3611111111111111,0.3409090909090909,0.32524271844660196,0.34154040404040403,0.3125,0.3469387755102041,0.3056930693069307,0.336875,0.3627450980392157,0.36791237113402064,0.3590561224489796,0.3698453608247423,0.376953125,0.3514030612244898,0.3596938775510204,0.37626262626262624,0.35328947368421054,0.3424744897959184,0.33864795918367346,0.348125,0.34974747474747475,0.34785353535353536,0.3491161616161616,0.3415841584158416,0.3543814432989691,0.336734693877551,0.35695876288659795,0.34226190476190477,0.376953125,0.363031914893617,0.38625,0.3428030303030303,0.34875,0.32702020202020204,0.36776315789473685,0.3551980198019802,0.34154040404040403,0.3163265306122449,0.37433510638297873,0.33533653846153844,0.3622448979591837,0.3575,0.34467821782178215,0.3817204301075269,0.3440656565656566,0.335625,0.3665364583333333
4,0.3787128712871287,0.38762626262626265,0.35125,0.3415841584158416,0.0,0.3736979166666667,0.3635204081632653,0.354375,0.4008838383838384,0.35051546391752575,0.3853092783505155,0.39232673267326734,0.38625,0.34438775510204084,0.3828947368421053,0.34375,0.37436868686868685,0.3401315789473684,0.34885204081632654,0.3939393939393939,0.3877551020408163,0.361875,0.37163978494623656,0.33601485148514854,0.360180412371134,0.3684895833333333,0.36082474226804123,0.35180412371134023,0.3743489583333333,0.36597938144329895,0.38671875,0.3472222222222222,0.3869949494949495,0.3657178217821782,0.37177835051546393,0.3625,0.3634020618556701,0.3325,0.3711340206185567,0.3440721649484536,0.3255952380952381,0.3424744897959184,0.38092105263157894,0.36288265306122447,0.3716755319148936,0.36082474226804123,0.3600260416666667,0.3565051020408163,0.35984848484848486,0.37371134020618557,0.36415816326530615,0.358125,0.38446969696969696,0.35244845360824745,0.3619791666666667,0.36363636363636365,0.32908163265306123,0.3489583333333333,0.37757731958762886,0.3675,0.34664948453608246,0.34974747474747475,0.3352272727272727,0.37306701030927836,0.3592171717171717,0.3698453608247423,0.3515625,0.36426767676767674,0.391875,0.3667091836734694,0.3567708333333333,0.3788659793814433,0.3375,0.3193069306930693,0.3943298969072165,0.3427835051546392,0.36893203883495146,0.3893229166666667,0.37247474747474746,0.3743489583333333,0.38762626262626265,0.3596938775510204,0.3703947368421053,0.36288265306122447,0.38337628865979384,0.34839108910891087,0.3625,0.3705357142857143,0.379375,0.375,0.36146907216494845,0.335625,0.375,0.40025252525252525,0.3581730769230769,0.3782552083333333,0.4175257731958763,0.35457920792079206,0.34375,0.3575,0.34154040404040403,0.39141414141414144,0.36607142857142855,0.3596938775510204,0.3736979166666667,0.3459158415841584,0.36211340206185566,0.35164141414141414,0.39304123711340205,0.3359375,0.38208762886597936,0.3673469387755102,0.330625,0.36989795918367346,0.33762254901960786,0.36125,0.3490691489361702,0.3549757281553398,0.35631443298969073,0.35164141414141414,0.33455882352941174,0.3520408163265306,0.36553030303030304,0.40226063829787234,0.4052835051546392,0.36920103092783507,0.38844086021505375,0.3323019801980198
5,0.3248762376237624,0.37822164948453607,0.3684210526315789,0.3067602040816326,0.3736979166666667,0.0,0.3832070707070707,0.3409653465346535,0.3801546391752577,0.33375,0.3684895833333333,0.3484848484848485,0.369949494949495,0.343125,0.3712871287128713,0.36533505154639173,0.37752525252525254,0.3723404255319149,0.3605263157894737,0.3795103092783505,0.34600515463917525,0.33163265306122447,0.35164141414141414,0.3703457446808511,0.3635204081632653,0.3529040404040404,0.35695876288659795,0.363031914893617,0.3841145833333333,0.3776041666666667,0.34777227722772275,0.34529702970297027,0.35115979381443296,0.3486519607843137,0.36597938144329895,0.3590561224489796,0.3836436170212766,0.32891414141414144,0.351010101010101,0.33207070707070707,0.36616847826086957,0.3582474226804124,0.3301767676767677,0.34664948453608246,0.35875,0.37933168316831684,0.35353535353535354,0.37242268041237114,0.31862745098039214,0.3756510416666667,0.39540816326530615,0.3309948979591837,0.36662371134020616,0.3263888888888889,0.3465346534653465,0.3716755319148936,0.327970297029703,0.3875,0.3815789473684211,0.3565051020408163,0.34595959595959597,0.3575,0.35267857142857145,0.3513157894736842,0.3801546391752577,0.3670212765957447,0.351010101010101,0.32046568627450983,0.36415816326530615,0.39,0.3590686274509804,0.3582920792079208,0.3394607843137255,0.31443298969072164,0.3648989898989899,0.31790865384615385,0.351010101010101,0.3859536082474227,0.3552295918367347,0.3774752475247525,0.3667091836734694,0.33118556701030927,0.35526315789473684,0.32125,0.3919270833333333,0.3446969696969697,0.3882978723404255,0.3582920792079208,0.3630050505050505,0.36607142857142855,0.375,0.3354591836734694,0.36726804123711343,0.3415841584158416,0.3645833333333333,0.37563131313131315,0.34375,0.364375,0.3684210526315789,0.36047979797979796,0.39368556701030927,0.3539540816326531,0.32334183673469385,0.349609375,0.345,0.37563131313131315,0.3711340206185567,0.3405612244897959,0.3671875,0.4138157894736842,0.34342105263157896,0.3848684210526316,0.3671875,0.3762755102040816,0.3248820754716981,0.3590561224489796,0.34191176470588236,0.3960597826086957,0.32653061224489793,0.3828947368421053,0.3440656565656566,0.34129901960784315,0.3712121212121212,0.3480392156862745,0.37757731958762886,0.3587239583333333,0.359375,0.3402777777777778
6,0.380859375,0.3860677083333333,0.34681372549019607,0.3345959595959596,0.3635204081632653,0.3832070707070707,0.0,0.35164141414141414,0.37685643564356436,0.37236842105263157,0.37004950495049505,0.38853092783505155,0.373046875,0.34119897959183676,0.38337628865979384,0.361328125,0.38402061855670105,0.3665364583333333,0.3622448979591837,0.3971354166666667,0.3596938775510204,0.37693298969072164,0.3971354166666667,0.38010204081632654,0.355625,0.35984848484848486,0.3494897959183674,0.3762755102040816,0.3916223404255319,0.38392857142857145,0.38144329896907214,0.37763157894736843,0.39158163265306123,0.35459183673469385,0.3781887755102041,0.37632978723404253,0.3788659793814433,0.36920103092783507,0.3683894230769231,0.353515625,0.3276699029126214,0.3640463917525773,0.3743556701030928,0.3826530612244898,0.37236842105263157,0.349009900990099,0.37375,0.3736979166666667,0.37436224489795916,0.3547794117647059,0.3712871287128713,0.346875,0.3910891089108911,0.336489898989899,0.36236702127659576,0.37244897959183676,0.3606770833333333,0.36103723404255317,0.3801546391752577,0.39158163265306123,0.3655913978494624,0.38079896907216493,0.34034653465346537,0.35984848484848486,0.3684895833333333,0.3665364583333333,0.3310643564356436,0.3590561224489796,0.3813131313131313,0.3943298969072165,0.36386138613861385,0.4005102040816326,0.3595360824742268,0.35309278350515466,0.3543814432989691,0.33313106796116504,0.37004950495049505,0.3592171717171717,0.359529702970297,0.3841145833333333,0.3907828282828283,0.369140625,0.3864795918367347,0.35115979381443296,0.3483009708737864,0.36160714285714285,0.38762626262626265,0.32152061855670105,0.3527227722772277,0.35315533980582525,0.3634020618556701,0.37,0.3440533980582524,0.37894736842105264,0.37563775510204084,0.36211340206185566,0.3702445652173913,0.3513157894736842,0.3460526315789474,0.3675,0.35171568627450983,0.3551682692307692,0.3849734042553192,0.37109375,0.34987113402061853,0.38144329896907214,0.36684782608695654,0.39453125,0.3743489583333333,0.36920103092783507,0.4029947916666667,0.3806818181818182,0.3736842105263158,0.41945876288659795,0.37066831683168316,0.36862244897959184,0.3869949494949495,0.3514030612244898,0.35542929292929293,0.3590561224489796,0.35457920792079206,0.3819444444444444,0.375,0.3960459183673469,0.4020618556701031,0.3521039603960396,0.35267857142857145,0.33375
7,0.3465909090909091,0.39029255319148937,0.40453296703296704,0.3217821782178218,0.354375,0.3409653465346535,0.35164141414141414,0.0,0.365,0.3737244897959184,0.3769736842105263,0.37105263157894736,0.3848684210526316,0.34536082474226804,0.3958333333333333,0.3602941176470588,0.39893617021276595,0.3529040404040404,0.3321078431372549,0.382015306122449,0.358125,0.3539473684210526,0.3711734693877551,0.3480263157894737,0.3861842105263158,0.37566489361702127,0.3580729166666667,0.3490691489361702,0.39095744680851063,0.403125,0.36448019801980197,0.34620098039215685,0.386875,0.35714285714285715,0.3984375,0.38402061855670105,0.3926767676767677,0.36578947368421055,0.338490099009901,0.34311224489795916,0.3872422680412371,0.3703947368421053,0.376953125,0.35695876288659795,0.3494897959183674,0.34183673469387754,0.3622448979591837,0.3655913978494624,0.3475,0.3718112244897959,0.3852040816326531,0.3640463917525773,0.3860677083333333,0.3382731958762887,0.348125,0.38421052631578945,0.33737244897959184,0.351010101010101,0.39694148936170215,0.35309278350515466,0.35396039603960394,0.37373737373737376,0.3514030612244898,0.360180412371134,0.35526315789473684,0.3743556701030928,0.3548177083333333,0.3472222222222222,0.368125,0.3832908163265306,0.3399234693877551,0.375,0.37244897959183676,0.3665364583333333,0.3832908163265306,0.31310096153846156,0.37623762376237624,0.3815789473684211,0.36887254901960786,0.3763157894736842,0.39013157894736844,0.3756578947368421,0.36288265306122447,0.3626302083333333,0.36989795918367346,0.3473684210526316,0.36662371134020616,0.33875,0.3756127450980392,0.36096938775510207,0.3859536082474227,0.36426767676767674,0.37691326530612246,0.36543367346938777,0.3424744897959184,0.32989690721649484,0.369375,0.37244897959183676,0.38092105263157894,0.37373737373737376,0.3723404255319149,0.37563775510204084,0.34125,0.34,0.3347772277227723,0.3635204081632653,0.34875,0.35661764705882354,0.3815104166666667,0.360180412371134,0.37247474747474746,0.34648058252427183,0.3589108910891089,0.371875,0.35180412371134023,0.37308673469387754,0.368125,0.38903061224489793,0.33762886597938147,0.388671875,0.3301767676767677,0.3434343434343434,0.3796052631578947,0.3737244897959184,0.4008838383838384,0.3776041666666667,0.37898936170212766,0.3421717171717172
8,0.37373737373737376,0.4114583333333333,0.384375,0.3821614583333333,0.4008838383838384,0.3801546391752577,0.37685643564356436,0.365,0.0,0.3743556701030928,0.4100765306122449,0.39221938775510207,0.3704896907216495,0.3756443298969072,0.3903061224489796,0.37373737373737376,0.40757978723404253,0.35625,0.37109375,0.4035904255319149,0.3910891089108911,0.40896739130434784,0.3681930693069307,0.3630050505050505,0.39561170212765956,0.3872549019607843,0.4027061855670103,0.3854166666666667,0.38456632653061223,0.3864795918367347,0.37691326530612246,0.3973684210526316,0.37436868686868685,0.38825757575757575,0.38144329896907214,0.39646464646464646,0.36237373737373735,0.3864795918367347,0.38848039215686275,0.35375,0.3775,0.3645833333333333,0.39819587628865977,0.4029255319148936,0.381875,0.36625,0.39755154639175255,0.40657894736842104,0.38853092783505155,0.3801546391752577,0.376875,0.3877551020408163,0.375,0.36375,0.37625,0.36426767676767674,0.37306701030927836,0.36862244897959184,0.35586734693877553,0.396484375,0.39368556701030927,0.4164473684210526,0.3821614583333333,0.36519607843137253,0.3979591836734694,0.3917525773195876,0.37,0.36347087378640774,0.3872422680412371,0.38392857142857145,0.3595360824742268,0.3841145833333333,0.36887254901960786,0.3762254901960784,0.404296875,0.3470052083333333,0.4225260416666667,0.35436893203883496,0.4127604166666667,0.40425531914893614,0.36726804123711343,0.35661764705882354,0.385,0.35661764705882354,0.3997524752475248,0.3673469387755102,0.3888888888888889,0.375,0.3877551020408163,0.39285714285714285,0.375,0.338490099009901,0.36791237113402064,0.37815656565656564,0.3717105263157895,0.4015151515151515,0.3852040816326531,0.3947704081632653,0.3851010101010101,0.39625,0.3686868686868687,0.3912760416666667,0.367984693877551,0.365234375,0.3815789473684211,0.36742424242424243,0.37625,0.38257575757575757,0.3934948979591837,0.38636363636363635,0.3976063829787234,0.37436868686868685,0.3897058823529412,0.36791237113402064,0.39221938775510207,0.3550257731958763,0.3675,0.3730263157894737,0.338490099009901,0.3762254901960784,0.38613861386138615,0.38853092783505155,0.3743811881188119,0.39285714285714285,0.3743421052631579,0.3869949494949495,0.357421875,0.3692602040816326
9,0.3354591836734694,0.3872422680412371,0.327970297029703,0.34375,0.35051546391752575,0.33375,0.37236842105263157,0.3737244897959184,0.3743556701030928,0.0,0.3484848484848485,0.3661616161616162,0.3881578947368421,0.3402777777777778,0.36174242424242425,0.371875,0.41118421052631576,0.333125,0.36447368421052634,0.3756578947368421,0.38010204081632654,0.36973684210526314,0.369949494949495,0.3470052083333333,0.37247474747474746,0.3658854166666667,0.3421717171717172,0.3424479166666667,0.384765625,0.36855670103092786,0.3611111111111111,0.36125,0.39368556701030927,0.3575,0.37626262626262624,0.36989795918367346,0.392578125,0.32281553398058255,0.340625,0.3427631578947368,0.34154040404040403,0.3207070707070707,0.34375,0.34375,0.3449754901960784,0.3712121212121212,0.3424744897959184,0.3446969696969697,0.341626213592233,0.34664948453608246,0.35459183673469385,0.3717105263157895,0.36160714285714285,0.3450255102040816,0.36426767676767674,0.35526315789473684,0.3491161616161616,0.35164141414141414,0.350765306122449,0.34375,0.3402777777777778,0.36363636363636365,0.3427631578947368,0.3795103092783505,0.3781887755102041,0.33984375,0.3354591836734694,0.36684782608695654,0.36757425742574257,0.351010101010101,0.3723958333333333,0.3527227722772277,0.3469387755102041,0.3587239583333333,0.36033163265306123,0.34154040404040403,0.3657178217821782,0.37941919191919193,0.37371134020618557,0.3323019801980198,0.3636968085106383,0.3491161616161616,0.3587239583333333,0.3700980392156863,0.3956185567010309,0.3560606060606061,0.361875,0.3782894736842105,0.3453282828282828,0.3388480392156863,0.3712121212121212,0.3693181818181818,0.35778061224489793,0.3718112244897959,0.3725728155339806,0.3768939393939394,0.35542929292929293,0.3736979166666667,0.35115979381443296,0.3647959183673469,0.323125,0.35526315789473684,0.3485824742268041,0.37894736842105264,0.35767326732673266,0.3537234042553192,0.36033163265306123,0.3447164948453608,0.3907894736842105,0.36213235294117646,0.36989795918367346,0.3690159574468085,0.33875,0.3635204081632653,0.35970744680851063,0.35795454545454547,0.33737864077669905,0.35180412371134023,0.34407894736842104,0.34085051546391754,0.35970744680851063,0.35767326732673266,0.34885204081632654,0.39987244897959184,0.3832908163265306,0.33294392523364486,0.3807397959183674,0.33775252525252525
