pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,pattern_20,pattern_21,pattern_22,pattern_23,pattern_24,pattern_25,pattern_26,pattern_27,pattern_28,pattern_29,pattern_30,pattern_31
0,0.0,0.35755813953488375,0.3471153846153846,0.3380681818181818,0.3735687022900763,0.3190789473684211,0.37744140625,0.3554389312977099,0.32649253731343286,0.34232954545454547,0.35384615384615387,0.37306201550387597,0.36259541984732824,0.31345419847328243,0.38072519083969464,0.37693798449612403,0.35179924242424243,0.33251953125,0.3541666666666667,0.37452290076335876,0.3573473282442748,0.3702290076335878,0.3218283582089552,0.33798076923076925,0.36474609375,0.3487595419847328,0.34633458646616544,0.37452290076335876,0.35998062015503873,0.3451923076923077,0.32751937984496127,0.35639312977099236
1,0.35755813953488375,0.0,0.3622159090909091,0.37257751937984496,0.3275375939849624,0.3507751937984496,0.3622159090909091,0.34759615384615383,0.33091085271317827,0.3557692307692308,0.3354007633587786,0.3584280303030303,0.32729007633587787,0.3293269230769231,0.374031007751938,0.3451923076923077,0.33587786259541985,0.33942307692307694,0.37452290076335876,0.37067307692307694,0.3328488372093023,0.36328125,0.33042635658914726,0.35673076923076924,0.32729007633587787,0.34375,0.33365384615384613,0.35528846153846155,0.3712121212121212,0.37833969465648853,0.3317307692307692,0.3139423076923077
2,0.3471153846153846,0.3622159090909091,0.0,0.3372093023255814,0.36593511450381677,0.3628875968992248,0.34759615384615383,0.3642578125,0.3425572519083969,0.3091856060606061,0.31296641791044777,0.3425387596899225,0.35591603053435117,0.34156976744186046,0.3244274809160305,0.3735687022900763,0.3730769230769231,0.33826335877862596,0.34615384615384615,0.36143410852713176,0.3502906976744186,0.374515503875969,0.3220419847328244,0.3465909090909091,0.37257751937984496,0.3291015625,0.3504807692307692,0.3354007633587786,0.3275375939849624,0.38953488372093026,0.3293269230769231,0.37109375
3,0.3380681818181818,0.37257751937984496,0.3372093023255814,0.0,0.38740458015267176,0.35721153846153847,0.39375,0.3320610687022901,0.3372093023255814,0.3631628787878788,0.3658653846153846,0.37452290076335876,0.3683206106870229,0.32706766917293234,0.3470643939393939,0.37742248062015504,0.3630725190839695,0.3392857142857143,0.375,0.3430451127819549,0.3691860465116279,0.36553030303030304,0.35658914728682173,0.3506679389312977,0.37887596899224807,0.36354961832061067,0.373546511627907,0.34517045454545453,0.3837890625,0.38076923076923075,0.3508522727272727,0.34303435114503816
4,0.3735687022900763,0.3275375939849624,0.36593511450381677,0.38740458015267176,0.0,0.3693181818181818,0.3697115384615385,0.34923664122137404,0.33221153846153845,0.3783653846153846,0.36767578125,0.3678977272727273,0.36137218045112784,0.3163167938931298,0.3859732824427481,0.38740458015267176,0.3400186567164179,0.33942307692307694,0.37929389312977096,0.3501908396946565,0.35852713178294576,0.36736641221374045,0.3478682170542636,0.35271317829457366,0.350093984962406,0.3841346153846154,0.3923076923076923,0.37357954545454547,0.3682170542635659,0.3846899224806202,0.3451923076923077,0.3338178294573643
5,0.3190789473684211,0.3507751937984496,0.3628875968992248,0.35721153846153847,0.3693181818181818,0.0,0.34517045454545453,0.3268129770992366,0.3282442748091603,0.34780534351145037,0.34326923076923077,0.3735687022900763,0.34780534351145037,0.3391472868217054,0.3641917293233083,0.3391472868217054,0.3697916666666667,0.34593023255813954,0.3485576923076923,0.39147286821705424,0.3425387596899225,0.359375,0.3181818181818182,0.3504807692307692,0.33942307692307694,0.35511363636363635,0.3554389312977099,0.3507751937984496,0.3662109375,0.3894230769230769,0.3148496240601504,0.32048872180451127
6,0.37744140625,0.3622159090909091,0.34759615384615383,0.39375,0.3697115384615385,0.34517045454545453,0.0,0.3275375939849624,0.3325381679389313,0.3701550387596899,0.32967557251908397,0.33028846153846153,0.3642578125,0.3386627906976744,0.3524038461538462,0.374031007751938,0.3783653846153846,0.3370192307692308,0.3390151515151515,0.3663461538461538,0.3234732824427481,0.38509615384615387,0.3293269230769231,0.35192307692307695,0.3328598484848485,0.3583984375,0.3648255813953488,0.3551356589147287,0.3716346153846154,0.36975190839694655,0.31203007518796994,0.3596153846153846
7,0.3554389312977099,0.34759615384615383,0.3642578125,0.3320610687022901,0.34923664122137404,0.3268129770992366,0.3275375939849624,0.0,0.299812030075188,0.38372093023255816,0.349609375,0.36498091603053434,0.34759615384615383,0.36094961240310075,0.37736742424242425,0.3252840909090909,0.34990530303030304,0.33969465648854963,0.3392175572519084,0.3654580152671756,0.3625,0.3528846153846154,0.33349236641221375,0.373546511627907,0.3506679389312977,0.3624031007751938,0.3536821705426357,0.35144230769230766,0.3793604651162791,0.38905038759689925,0.325,0.3520992366412214
8,0.32649253731343286,0.33091085271317827,0.3425572519083969,0.3372093023255814,0.33221153846153845,0.3282442748091603,0.3325381679389313,0.299812030075188,0.0,0.3451923076923077,0.3367248062015504,0.3561046511627907,0.34156976744186046,0.31875,0.3693181818181818,0.325,0.3380681818181818,0.31202290076335876,0.37790697674418605,0.34278846153846154,0.30916030534351147,0.36328125,0.29829545454545453,0.3252840909090909,0.32177734375,0.3425751879699248,0.3439922480620155,0.3271780303030303,0.375,0.3648255813953488,0.30426356589147285,0.3306297709923664
9,0.34232954545454547,0.3557692307692308,0.3091856060606061,0.3631628787878788,0.3783653846153846,0.34780534351145037,0.3701550387596899,0.38372093023255816,0.3451923076923077,0.0,0.33570075757575757,0.35852713178294576,0.375,0.3687015503875969,0.366412213740458,0.37548076923076923,0.3740234375,0.3370192307692308,0.3478682170542636,0.39244186046511625,0.35144230769230766,0.35625,0.32670454545454547,0.3544847328244275,0.36191860465116277,0.3346153846153846,0.3503787878787879,0.35384615384615387,0.3408653846153846,0.38226744186046513,0.33413461538461536,0.36676356589147285
10,0.35384615384615387,0.3354007633587786,0.31296641791044777,0.3658653846153846,0.36767578125,0.34326923076923077,0.32967557251908397,0.349609375,0.3367248062015504,0.33570075757575757,0.0,0.3370192307692308,0.3889423076923077,0.34232954545454547,0.34541984732824427,0.38856589147286824,0.36579457364341084,0.3439922480620155,0.3235576923076923,0.3721153846153846,0.3505859375,0.3606870229007634,0.325,0.37929389312977096,0.3430232558139535,0.3628875968992248,0.3344216417910448,0.3463740458015267,0.375,0.3816793893129771,0.33110687022900764,0.3625
11,0.37306201550387597,0.3584280303030303,0.3425387596899225,0.37452290076335876,0.3678977272727273,0.3735687022900763,0.33028846153846153,0.36498091603053434,0.3561046511627907,0.35852713178294576,0.3370192307692308,0.0,0.3857421875,0.3368320610687023,0.35591603053435117,0.37790697674418605,0.3682692307692308,0.36773255813953487,0.36498091603053434,0.3488372093023256,0.3576923076923077,0.3769230769230769,0.3221899224806202,0.3701171875,0.3233082706766917,0.34780534351145037,0.3573473282442748,0.36116412213740456,0.3597328244274809,0.37693798449612403,0.35639312977099236,0.3371212121212121
12,0.36259541984732824,0.32729007633587787,0.35591603053435117,0.3683206106870229,0.36137218045112784,0.34780534351145037,0.3642578125,0.34759615384615383,0.34156976744186046,0.375,0.3889423076923077,0.3857421875,0.0,0.36143410852713176,0.3603219696969697,0.34541984732824427,0.3702651515151515,0.33110687022900764,0.35625,0.36875,0.32958984375,0.35526315789473684,0.33028846153846153,0.3255597014925373,0.373546511627907,0.3556201550387597,0.34208015267175573,0.3456439393939394,0.3511450381679389,0.37596153846153846,0.3242481203007519,0.3581730769230769
13,0.31345419847328243,0.3293269230769231,0.34156976744186046,0.32706766917293234,0.3163167938931298,0.3391472868217054,0.3386627906976744,0.36094961240310075,0.31875,0.3687015503875969,0.34232954545454547,0.3368320610687023,0.36143410852713176,0.0,0.3497137404580153,0.3503787878787879,0.3229166666666667,0.35998062015503873,0.37451923076923077,0.34208015267175573,0.33948863636363635,0.3560606060606061,0.32299618320610685,0.3162878787878788,0.3644230769230769,0.32729007633587787,0.3381782945736434,0.3271780303030303,0.3536821705426357,0.34327651515151514,0.3125,0.31774809160305345
14,0.38072519083969464,0.374031007751938,0.3244274809160305,0.3470643939393939,0.3859732824427481,0.3641917293233083,0.3524038461538462,0.37736742424242425,0.3693181818181818,0.366412213740458,0.34541984732824427,0.35591603053435117,0.3603219696969697,0.3497137404580153,0.0,0.3817829457364341,0.366412213740458,0.33948863636363635,0.3528846153846154,0.3908653846153846,0.36875,0.3875,0.37690839694656486,0.38808139534883723,0.37030075187969924,0.34517045454545453,0.33413461538461536,0.3580827067669173,0.40478515625,0.39134615384615384,0.3506679389312977,0.38257575757575757
15,0.37693798449612403,0.3451923076923077,0.3735687022900763,0.37742248062015504,0.38740458015267176,0.3391472868217054,0.374031007751938,0.3252840909090909,0.325,0.37548076923076923,0.38856589147286824,0.37790697674418605,0.34541984732824427,0.3503787878787879,0.3817829457364341,0.0,0.36009615384615384,0.3488372093023256,0.38525390625,0.3793604651162791,0.374515503875969,0.36730769230769234,0.3473282442748092,0.3576923076923077,0.36923076923076925,0.35271317829457366,0.37884615384615383,0.37166030534351147,0.37786259541984735,0.3942307692307692,0.36579457364341084,0.3456439393939394
16,0.35179924242424243,0.33587786259541985,0.3730769230769231,0.3630725190839695,0.3400186567164179,0.3697916666666667,0.3783653846153846,0.34990530303030304,0.3380681818181818,0.3740234375,0.36579457364341084,0.3682692307692308,0.3702651515151515,0.3229166666666667,0.366412213740458,0.36009615384615384,0.0,0.35658914728682173,0.3654580152671756,0.341796875,0.3639423076923077,0.31676136363636365,0.3330078125,0.32765151515151514,0.3409090909090909,0.36889097744360905,0.3640267175572519,0.37596153846153846,0.3643410852713178,0.3808139534883721,0.3384615384615385,0.3498062015503876
17,0.33251953125,0.33942307692307694,0.33826335877862596,0.3392857142857143,0.33942307692307694,0.34593023255813954,0.3370192307692308,0.33969465648854963,0.31202290076335876,0.3370192307692308,0.3439922480620155,0.36773255813953487,0.33110687022900764,0.35998062015503873,0.33948863636363635,0.3488372093023256,0.35658914728682173,0.0,0.35707364341085274,0.33238636363636365,0.32048872180451127,0.3387404580152672,0.33948863636363635,0.30625,0.3125,0.37548076923076923,0.3640267175572519,0.3465909090909091,0.3458969465648855,0.3624031007751938,0.3306297709923664,0.3556201550387597
18,0.3541666666666667,0.37452290076335876,0.34615384615384615,0.375,0.37929389312977096,0.3485576923076923,0.3390151515151515,0.3392175572519084,0.37790697674418605,0.3478682170542636,0.3235576923076923,0.36498091603053434,0.35625,0.37451923076923077,0.3528846153846154,0.38525390625,0.3654580152671756,0.35707364341085274,0.0,0.35721153846153847,0.3369360902255639,0.3678435114503817,0.3214962121212121,0.36865234375,0.3326923076923077,0.3466346153846154,0.37596153846153846,0.34138257575757575,0.3857421875,0.34611742424242425,0.3391472868217054,0.33646616541353386
