pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
0,0.36572265625,0.36572265625,2048,128,0.9365234375,130.0,"[0.292553186416626, 0.44701087474823, 0.375, 0.296875]"
1,0.3798828125,0.3798828125,2048,128,0.93212890625,139.0,"[0.29249998927116394, 0.43478259444236755, 0.4609375, 0.3671875]"
2,0.35400390625,0.35400390625,2048,128,0.955078125,92.0,"[0.25132977962493896, 0.4231770932674408, 0.42500001192092896, 0.3203125]"
3,0.36962890625,0.36962890625,2048,128,0.9287109375,146.0,"[0.27659574151039124, 0.4614361822605133, 0.4086538553237915, 0.25]"
4,0.37939453125,0.37939453125,2048,128,0.95947265625,83.0,"[0.2911931872367859, 0.45518869161605835, 0.39402174949645996, 0.3203125]"
5,0.38037109375,0.38037109375,2048,128,0.92822265625,147.0,"[0.2890625, 0.4553571343421936, 0.41847825050354004, 0.359375]"
6,0.38037109375,0.38037109375,2048,128,0.92919921875,145.0,"[0.3062500059604645, 0.42952126264572144, 0.45108696818351746, 0.3515625]"
7,0.38525390625,0.38525390625,2048,128,0.95849609375,85.0,"[0.2981770932674408, 0.4544270932674408, 0.421875, 0.3828125]"
8,0.392578125,0.392578125,2048,128,0.94677734375,109.0,"[0.29654255509376526, 0.4375, 0.4652777910232544, 0.453125]"
9,0.353515625,0.353515625,2048,128,0.9306640625,142.0,"[0.2857142984867096, 0.4069148898124695, 0.3984375, 0.3203125]"
10,0.359375,0.359375,2048,128,0.9658203125,70.0,"[0.280637264251709, 0.4225543439388275, 0.4021739065647125, 0.375]"
11,0.3759765625,0.3759765625,2048,128,0.9384765625,126.0,"[0.29347825050354004, 0.4591836631298065, 0.38749998807907104, 0.3046875]"
12,0.3955078125,0.3955078125,2048,128,0.94482421875,113.0,"[0.3509615361690521, 0.44460228085517883, 0.4036458432674408, 0.390625]"
13,0.3447265625,0.3447265625,2048,128,0.9345703125,134.0,"[0.25797873735427856, 0.4192708432674408, 0.38999998569488525, 0.265625]"
14,0.3505859375,0.3505859375,2048,128,0.939453125,124.0,"[0.2669270932674408, 0.4068877696990967, 0.39673912525177, 0.375]"
15,0.40576171875,0.40576171875,2048,128,0.90234375,200.0,"[0.32499998807907104, 0.4336734712123871, 0.5059523582458496, 0.4765625]"
16,0.42724609375,0.42724609375,2048,128,0.93603515625,131.0,"[0.35638296604156494, 0.4856770932674408, 0.44999998807907104, 0.421875]"
